Everybody matched with top 8 preferences:
Elapsed time: 4163 ms
m0: matched to w380 (rank 3)
m1: matched to w438 (rank 1)
m2: matched to w306 (rank 1)
m3: matched to w869 (rank 1)
m4: matched to w994 (rank 1)
m5: matched to w834 (rank 1)
m6: matched to w999 (rank 1)
m7: matched to w988 (rank 2)
m8: matched to w276 (rank 2)
m9: matched to w857 (rank 3)
m10: matched to w287 (rank 1)
m11: matched to w96 (rank 2)
m12: matched to w431 (rank 1)
m13: matched to w357 (rank 1)
m14: matched to w949 (rank 4)
m15: matched to w520 (rank 5)
m16: matched to w86 (rank 5)
m17: matched to w672 (rank 5)
m18: matched to w503 (rank 2)
m19: matched to w326 (rank 1)
m20: matched to w58 (rank 1)
m21: matched to w849 (rank 2)
m22: matched to w83 (rank 2)
m23: matched to w508 (rank 3)
m24: matched to w150 (rank 3)
m25: matched to w297 (rank 1)
m26: matched to w184 (rank 4)
m27: matched to w392 (rank 2)
m28: matched to w968 (rank 1)
m29: matched to w151 (rank 1)
m30: matched to w862 (rank 4)
m31: matched to w906 (rank 1)
m32: matched to w395 (rank 1)
m33: matched to w642 (rank 2)
m34: matched to w876 (rank 1)
m35: matched to w691 (rank 1)
m36: matched to w474 (rank 1)
m37: matched to w21 (rank 3)
m38: matched to w749 (rank 3)
m39: matched to w966 (rank 2)
m40: matched to w597 (rank 1)
m41: matched to w312 (rank 1)
m42: matched to w947 (rank 1)
m43: matched to w265 (rank 3)
m44: matched to w173 (rank 1)
m45: matched to w280 (rank 2)
m46: matched to w564 (rank 1)
m47: matched to w822 (rank 1)
m48: matched to w983 (rank 1)
m49: matched to w665 (rank 2)
m50: matched to w788 (rank 1)
m51: matched to w657 (rank 1)
m52: matched to w984 (rank 1)
m53: matched to w188 (rank 2)
m54: matched to w342 (rank 5)
m55: matched to w549 (rank 1)
m56: matched to w337 (rank 3)
m57: matched to w137 (rank 1)
m58: matched to w397 (rank 1)
m59: matched to w550 (rank 2)
m60: matched to w536 (rank 1)
m61: matched to w769 (rank 1)
m62: matched to w310 (rank 1)
m63: matched to w766 (rank 2)
m64: matched to w423 (rank 2)
m65: matched to w695 (rank 3)
m66: matched to w134 (rank 1)
m67: matched to w437 (rank 1)
m68: matched to w140 (rank 1)
m69: matched to w24 (rank 1)
m70: matched to w630 (rank 3)
