Everybody matched with top 7 preferences:
Elapsed time: 429 ms
m0: matched to w166 (rank 1)
m1: matched to w236 (rank 6)
m2: matched to w138 (rank 1)
m3: matched to w279 (rank 1)
m4: matched to w129 (rank 1)
m5: matched to w292 (rank 1)
m6: matched to w89 (rank 1)
m7: matched to w84 (rank 2)
m8: matched to w383 (rank 2)
m9: matched to w272 (rank 2)
m10: matched to w243 (rank 1)
m11: matched to w457 (rank 3)
m12: matched to w267 (rank 2)
m13: matched to w377 (rank 2)
m14: matched to w318 (rank 1)
m15: matched to w504 (rank 3)
m16: matched to w543 (rank 2)
m17: matched to w353 (rank 1)
m18: matched to w261 (rank 3)
m19: matched to w584 (rank 5)
m20: matched to w546 (rank 1)
m21: matched to w317 (rank 1)
m22: matched to w148 (rank 1)
m23: matched to w485 (rank 1)
m24: matched to w345 (rank 1)
m25: matched to w110 (rank 3)
m26: matched to w214 (rank 1)
m27: matched to w373 (rank 1)
m28: matched to w59 (rank 1)
m29: matched to w549 (rank 4)
m30: matched to w95 (rank 2)
m31: matched to w321 (rank 1)
m32: matched to w112 (rank 6)
m33: matched to w97 (rank 1)
m34: matched to w487 (rank 3)
m35: matched to w271 (rank 1)
m36: matched to w514 (rank 4)
m37: matched to w226 (rank 1)
m38: matched to w385 (rank 2)
m39: matched to w443 (rank 2)
m40: matched to w41 (rank 3)
m41: matched to w489 (rank 2)
m42: matched to w400 (rank 2)
m43: matched to w207 (rank 2)
m44: matched to w420 (rank 1)
m45: matched to w351 (rank 1)
m46: matched to w481 (rank 1)
m47: matched to w254 (rank 1)
m48: matched to w316 (rank 1)
m49: matched to w88 (rank 3)
m50: matched to w282 (rank 1)
m51: matched to w278 (rank 1)
m52: matched to w548 (rank 1)
m53: matched to w7 (rank 1)
m54: matched to w411 (rank 3)
m55: matched to w113 (rank 1)
m56: matched to w144 (rank 1)
m57: matched to w198 (rank 2)
m58: matched to w172 (rank 1)
m59: matched to w388 (rank 1)
m60: matched to w386 (rank 5)
m61: matched to w212 (rank 1)
m62: matched to w403 (rank 1)
m63: matched to w361 (rank 5)
m64: matched to w451 (rank 4)
m65: matched to w34 (rank 1)
m66: matched to w177 (rank 1)
m67: matched to w256 (rank 3)
m68: matched to w559 (rank 1)
m69: matched to w565 (rank 1)
m70: matched to w474 (rank 1)
m71: matched to w365 (rank 1)
m72: matched to w391 (rank 1)
m73: matched to w222 (rank 3)
m74: matched to w347 (rank 2)
m75: matched to w463 (rank 4)
m76: matched to w107 (rank 1)
m77: matched to w117 (rank 2)
m78: matched to w547 (rank 3)
m79: matched to w479 (rank 1)
m80: matched to w477 (rank 1)
m81: matched to w183 (rank 1)
m82: matched to w131 (rank 4)
m83: matched to w194 (rank 2)
m84: matched to w310 (rank 1)
m85: matched to w484 (rank 1)
m86: matched to w589 (rank 1)
m87: matched to w581 (rank 1)
m88: matched to w132 (rank 1)
m89: matched to w288 (rank 2)
m90: matched to w14 (rank 1)
m91: matched to w219 (rank 1)
m92: matched to w447 (rank 2)
m93: matched to w453 (rank 2)
m94: matched to w449 (rank 1)
m95: matched to w436 (rank 3)
m96: matched to w42 (rank 2)
m97: matched to w412 (rank 1)
m98: matched to w68 (rank 2)
m99: matched to w591 (rank 2)
m100: matched to w192 (rank 2)
m101: matched to w273 (rank 2)
m102: matched to w234 (rank 2)
m103: matched to w344 (rank 1)
m104: matched to w159 (rank 1)
m105: matched to w437 (rank 2)
m106: matched to w79 (rank 2)
m107: matched to w593 (rank 1)
m108: matched to w557 (rank 1)
m109: matched to w191 (rank 3)
m110: matched to w523 (rank 2)
m111: matched to w4 (rank 1)
m112: matched to w406 (rank 1)
m113: matched to w185 (rank 2)
m114: matched to w54 (rank 1)
m115: matched to w139 (rank 1)
m116: matched to w440 (rank 1)
m117: matched to w598 (rank 1)
m118: matched to w38 (rank 1)
m119: matched to w553 (rank 1)
m120: matched to w229 (rank 3)
m121: matched to w298 (rank 1)
m122: matched to w289 (rank 1)
m123: matched to w355 (rank 1)
m124: matched to w56 (rank 1)
m125: matched to w563 (rank 1)
m126: matched to w341 (rank 2)
m127: matched to w157 (rank 1)
m128: matched to w153 (rank 1)
m129: matched to w72 (rank 1)
m130: matched to w141 (rank 1)
m131: matched to w104 (rank 4)
m132: matched to w146 (rank 3)
m133: matched to w379 (rank 5)
m134: matched to w186 (rank 2)
m135: matched to w337 (rank 5)
m136: matched to w324 (rank 2)
m137: matched to w456 (rank 1)
m138: matched to w327 (rank 1)
m139: matched to w122 (rank 2)
